Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-04T19:20:30.710Z","pro-free-trial","auto","No","522","0","62185","265","62972","Included"
"2025-09-04T19:19:15.179Z","pro-free-trial","auto","No","6506","0","292650","1708","300864","Included"
"2025-09-04T19:14:23.098Z","pro-free-trial","auto","No","43190","0","1548371","4797","1596358","Included"
"2025-09-04T19:12:43.923Z","pro-free-trial","auto","No","95033","0","4781492","7864","4884389","Included"
"2025-09-04T19:07:02.010Z","pro-free-trial","auto","No","62060","0","2014470","9143","2085673","Included"
"2025-09-04T19:06:51.893Z","Errored, Not Charged","auto","No","51811","0","1325302","5760","1382873","Included"
"2025-09-04T19:06:12.310Z","pro-free-trial","auto","No","40026","0","187618","1563","229207","Included"
"2025-09-04T19:04:28.020Z","pro-free-trial","auto","No","45610","0","445289","831","491730","Included"
"2025-09-04T18:53:21.935Z","pro-free-trial","auto","No","64128","0","2996812","11979","3072919","Included"
"2025-09-04T18:48:44.942Z","pro-free-trial","auto","No","183","0","91406","598","92187","Included"
"2025-09-04T18:48:09.164Z","Errored, Not Charged","auto","No","92","0","91179","57","91328","Included"
"2025-09-04T18:47:39.483Z","Errored, Not Charged","auto","No","186","0","90842","73","91101","Included"
"2025-09-04T18:46:02.760Z","pro-free-trial","auto","No","383","0","181000","57","181440","Included"
"2025-09-04T18:45:53.180Z","pro-free-trial","auto","No","0","0","0","0","0","Included"
"2025-09-04T18:45:44.815Z","Errored, Not Charged","auto","No","75580","0","14997","56","90633","Included"
"2025-09-04T18:42:20.133Z","Errored, Not Charged","auto","No","95206","0","1647513","2606","1745325","Included"
"2025-09-04T18:41:53.711Z","pro-free-trial","auto","No","5886","0","155927","477","162290","Included"
"2025-09-04T18:41:47.345Z","Errored, Not Charged","auto","No","61936","0","15877","63","77876","Included"
"2025-09-04T18:34:46.128Z","pro-free-trial","auto","No","6250","0","79993","481","86724","Included"
"2025-09-04T18:34:34.944Z","Errored, Not Charged","auto","No","17702","0","2544020","3177","2564899","Included"
"2025-09-04T18:33:02.186Z","pro-free-trial","auto","No","45892","83197","136822","4453","270364","Included"
"2025-09-04T18:32:06.062Z","pro-free-trial","auto","No","6321","0","32852","274","39447","Included"
"2025-09-04T18:31:09.661Z","Errored, Not Charged","auto","No","62807","0","15864","218","78889","Included"
"2025-09-04T18:29:49.035Z","pro-free-trial","auto","No","10160","0","383136","1772","395068","Included"
"2025-09-04T18:26:22.273Z","pro-free-trial","auto","No","61604","69050","1019726","8176","1158556","Included"
"2025-09-04T18:22:58.185Z","pro-free-trial","auto","No","92092","0","3387885","6479","3486456","Included"
"2025-09-04T18:18:55.311Z","pro-free-trial","auto","No","42153","0","1023094","2889","1068136","Included"
"2025-09-04T18:15:07.087Z","pro-free-trial","auto","No","4959","0","227554","1305","233818","Included"
"2025-09-04T18:14:52.586Z","pro-free-trial","auto","No","63626","0","2122410","5080","2191116","Included"
"2025-09-04T18:11:21.049Z","Errored, Not Charged","auto","No","23602","0","1307748","6235","1337585","Included"
"2025-09-04T18:10:55.648Z","Errored, Not Charged","auto","No","75539","0","7620048","21028","7716615","Included"
"2025-09-04T18:10:25.249Z","pro-free-trial","auto","No","28167","0","897219","3949","929335","Included"
"2025-09-04T18:10:14.427Z","pro-free-trial","auto","No","6186","0","242371","1283","249840","Included"
"2025-09-04T18:09:35.552Z","Errored, Not Charged","auto","No","247","0","15860","212","16319","Included"
"2025-09-04T18:09:05.559Z","Errored, Not Charged","auto","No","24159","0","177721","832","202712","Included"
"2025-09-04T18:00:06.732Z","pro-free-trial","auto","No","2389","0","203195","827","206411","Included"
"2025-09-04T17:57:58.438Z","pro-free-trial","auto","No","5792","0","765297","1229","772318","Included"
"2025-09-04T17:57:36.856Z","Errored, Not Charged","auto","No","1260","0","179398","980","181638","Included"
"2025-09-04T17:56:18.682Z","pro-free-trial","auto","No","4968","0","673942","2295","681205","Included"
"2025-09-04T17:53:36.079Z","pro-free-trial","auto","No","5894","0","666030","1623","673547","Included"
"2025-09-04T17:53:17.433Z","pro-free-trial","auto","No","38735","0","524082","8483","571300","Included"
"2025-09-04T17:49:15.565Z","pro-free-trial","auto","No","8792","0","309385","1175","319352","Included"
"2025-09-04T17:48:42.430Z","pro-free-trial","auto","No","37385","0","1342246","4395","1384026","Included"
"2025-09-04T17:45:14.100Z","pro-free-trial","auto","No","7771","1126","850429","3266","862592","Included"
"2025-09-04T17:44:38.971Z","pro-free-trial","auto","No","5363","0","274956","1339","281658","Included"
"2025-09-04T17:43:59.177Z","Errored, Not Charged","auto","No","17494","0","42436","325","60255","Included"
"2025-09-04T17:37:08.916Z","pro-free-trial","auto","No","1616","0","175086","1622","178324","Included"
"2025-09-04T17:36:13.155Z","pro-free-trial","auto","No","14481","0","143895","2741","161117","Included"
"2025-09-04T17:31:14.842Z","pro-free-trial","auto","No","71784","0","916627","2496","990907","Included"
"2025-09-04T17:30:57.746Z","pro-free-trial","auto","No","43602","0","538426","2456","584484","Included"
"2025-09-04T17:01:26.606Z","pro-free-trial","auto","No","6664","0","468399","2812","477875","Included"
"2025-09-04T17:00:17.705Z","pro-free-trial","auto","No","28102","0","99945","1022","129069","Included"
"2025-09-04T16:59:15.924Z","pro-free-trial","auto","No","86181","1191","1611992","3772","1703136","Included"
"2025-09-04T16:57:37.173Z","pro-free-trial","auto","No","11048","0","716665","2612","730325","Included"
"2025-09-04T16:55:53.862Z","pro-free-trial","auto","No","9169","0","599202","1977","610348","Included"
"2025-09-04T16:54:58.410Z","pro-free-trial","auto","No","4205","0","145859","1181","151245","Included"
"2025-09-04T16:54:12.801Z","pro-free-trial","auto","No","23222","0","92218","552","115992","Included"
"2025-09-04T16:53:17.098Z","pro-free-trial","auto","No","12604","0","321258","1422","335284","Included"
"2025-09-04T16:48:26.168Z","pro-free-trial","auto","No","17502","0","737211","3743","758456","Included"
"2025-09-04T16:48:18.298Z","pro-free-trial","auto","No","65769","135","3033685","7548","3107137","Included"
"2025-09-04T16:45:43.840Z","pro-free-trial","auto","No","21920","0","644253","2534","668707","Included"
"2025-09-04T16:40:37.369Z","pro-free-trial","auto","No","7901","0","316349","2750","327000","Included"
